PB,Paraíba
PB,Paraíba,João Pessoa
PB,Paraíba,João Pessoa,Portal do Sol
PB,Paraíba,João Pessoa,Rangel
PB,Paraíba,João Pessoa,Renascer
PB,Paraíba,João Pessoa,Renascer II
PB,Paraíba,João Pessoa,Roger
PB,Paraíba,João Pessoa,Santa Rita
PB,Paraíba,João Pessoa,São José
PB,Paraíba,João Pessoa,São Sebastião
PB,Paraíba,João Pessoa,Sem Bairro
PB,Paraíba,João Pessoa,Serrotao
PB,Paraíba,João Pessoa,Sítio Cachoeira
PB,Paraíba,João Pessoa,Tabuleiro dos Martins
PB,Paraíba,João Pessoa,Tambau
PB,Paraíba,João Pessoa,Tambauzinho
PB,Paraíba,João Pessoa,Tambauzino
PB,Paraíba,João Pessoa,Tambay
PB,Paraíba,João Pessoa,Tambia
PB,Paraíba,João Pessoa,Tambú
PB,Paraíba,João Pessoa,Tibiri II
PB,Paraíba,João Pessoa,Torre
PB,Paraíba,João Pessoa,Treze de Maio
PB,Paraíba,João Pessoa,Trincheiras
PB,Paraíba,João Pessoa,Universitário
PB,Paraíba,João Pessoa,Urca
PB,Paraíba,João Pessoa,Valentina 1
PB,Paraíba,João Pessoa,Valentina Figueiro
PB,Paraíba,João Pessoa,Varadouro
PB,Paraíba,João Pessoa,Varajao
PB,Paraíba,João Pessoa,Vergel Lago
PB,Paraíba,João Pessoa,Vila Cabral
PB,Paraíba,João Pessoa,Vila Ellery
PB,Paraíba,João Pessoa,Viradouro
PB,Paraíba,João Pessoa,Zona Rural
PB,Paraíba,João Pessoa,Zumbi
PB,Paraíba,Joaquim Barbosa
PB,Paraíba,Joaquim Barbosa,Centro
PB,Paraíba,Joaquim Barbosa,Zona Rural
PB,Paraíba,Juá
PB,Paraíba,Juá,Centro
PB,Paraíba,Juarez Távora
PB,Paraíba,Juarez Távora,Centro
PB,Paraíba,Juarez Távora,Ginasio
PB,Paraíba,Juazeirinho
PB,Paraíba,Juazeirinho,Alto Medeiros
PB,Paraíba,Juazeirinho,Bela Vista
PB,Paraíba,Juazeirinho,Burity
PB,Paraíba,Juazeirinho,Centro
PB,Paraíba,Juazeirinho,Frei Damiao
PB,Paraíba,Juazeirinho,Inacia Emidia Diniz
PB,Paraíba,Juazeirinho,Zona Rural
PB,Paraíba,Junco do Seridó
PB,Paraíba,Junco do Seridó,Centro
PB,Paraíba,Junco do Seridó,Santo Antonio
PB,Paraíba,Jurema - Itatuba
PB,Paraíba,Jurema - Itatuba,Centro
PB,Paraíba,Jurema - Tavares
PB,Paraíba,Jurema - Tavares,Centro
PB,Paraíba,Juripiranga
PB,Paraíba,Juripiranga,Caio c Araujo
PB,Paraíba,Juripiranga,Centro
PB,Paraíba,Juripiranga,Guaratiba
PB,Paraíba,Juripiranga,Jose j Goncalves
PB,Paraíba,Jurú
PB,Paraíba,Jurú,Centro
PB,Paraíba,Jurú,Sao Sebastiao
PB,Paraíba,Jurú,Serra Branca
PB,Paraíba,Jurú,Zona Rural
PB,Paraíba,Lagoa
PB,Paraíba,Lagoa,Antonio j Souza
PB,Paraíba,Lagoa,Centro
PB,Paraíba,Lagoa,Zona Rural
PB,Paraíba,Lagoa da Cruz
PB,Paraíba,Lagoa da Cruz,Centro
PB,Paraíba,Lagoa de Dentro
PB,Paraíba,Lagoa de Dentro,Centro
PB,Paraíba,Lagoa de Dentro,Cristo Rei
PB,Paraíba,Lagoa de Dentro,Populares
PB,Paraíba,Lagoa de Dentro,Zona Rural
PB,Paraíba,Lagoa de Dentro - Puxinanã
PB,Paraíba,Lagoa de Dentro - Puxinanã,Centro
PB,Paraíba,Lagoa de Dentro - Puxinanã,Zona Rural
PB,Paraíba,Lagoa do Félix
PB,Paraíba,Lagoa do Félix,Centro
PB,Paraíba,Lagoa do Félix,Zona Rural
PB,Paraíba,Lagoa do Juca
PB,Paraíba,Lagoa do Juca,Centro
PB,Paraíba,Lagoa do Mato
PB,Paraíba,Lagoa do Mato,Centro
PB,Paraíba,Lagoa do Mato,Zona Rural
PB,Paraíba,Lagoa Seca
PB,Paraíba,Lagoa Seca,Anacleto
PB,Paraíba,Lagoa Seca,Bela Vista
PB,Paraíba,Lagoa Seca,Centro
PB,Paraíba,Lagoa Seca,Donda Correia
PB,Paraíba,Lagoa Seca,Santo Antônio
PB,Paraíba,Lagoa Seca,Zona Rural
PB,Paraíba,Lagoinha
PB,Paraíba,Lagoinha,Centro
PB,Paraíba,Lastro
PB,Paraíba,Lastro,Alto Boa Vista
PB,Paraíba,Lastro,Cehap
PB,Paraíba,Lastro,Centro
PB,Paraíba,Leal-Landia
PB,Paraíba,Lerolândia
PB,Paraíba,Lerolândia,Centro
PB,Paraíba,Livramento
PB,Paraíba,Livramento,Centro
PB,Paraíba,Livramento,Santo Antonio
PB,Paraíba,Livramento,Zona Rural
PB,Paraíba,Logradouro
PB,Paraíba,Logradouro,Centro
PB,Paraíba,Logradouro,Zona Rural
PB,Paraíba,Logradouro - Fagundes
PB,Paraíba,Logradouro - Fagundes,Centro
PB,Paraíba,Logradouro de Cima
PB,Paraíba,Logradouro de Cima,Centro
PB,Paraíba,Logradouro de Cima,Cj José Sarney
PB,Paraíba,Lucena
PB,Paraíba,Lucena,Centro
PB,Paraíba,Lucena,Fagundes
PB,Paraíba,Lucena,Novo
PB,Paraíba,Lucena,Sol Lucena
PB,Paraíba,Lucena,Zona Rural
PB,Paraíba,Maciel
PB,Paraíba,Mãe D'Água
PB,Paraíba,Mãe D'Água,Centro
PB,Paraíba,Mãe D'Água,Manoel b Lucena
PB,Paraíba,Mãe D'Água,Zona Rural
PB,Paraíba,Maia
PB,Paraíba,Maia,Centro
PB,Paraíba,Maia,Zona Rural
PB,Paraíba,Malhada da Roça
PB,Paraíba,Malhada da Roça,Centro
PB,Paraíba,Malhada Grande
PB,Paraíba,Malhada Grande,Centro
PB,Paraíba,Malta
PB,Paraíba,Malta,Centro
PB,Paraíba,Malta,Narciso m Sousa
PB,Paraíba,Malta,Zona Rural
PB,Paraíba,Mamanguape
PB,Paraíba,Mamanguape,Alto Cemiterio
PB,Paraíba,Mamanguape,Areal
PB,Paraíba,Mamanguape,Campo
PB,Paraíba,Mamanguape,Centro
PB,Paraíba,Mamanguape,Cidade Nova
PB,Paraíba,Mamanguape,Condado
PB,Paraíba,Mamanguape,Distrito Mecanico
PB,Paraíba,Mamanguape,Gurguri
PB,Paraíba,Mamanguape,Mangabeira
PB,Paraíba,Mamanguape,Manoel Fernandes Lim
PB,Paraíba,Mamanguape,Planalto
PB,Paraíba,Mamanguape,Satelite
PB,Paraíba,Mamanguape,Terra Nova
PB,Paraíba,Mamanguape,Zona Rural
PB,Paraíba,Manaíra
PB,Paraíba,Manaíra,Centro
PB,Paraíba,Manaíra,Dom Paulo
PB,Paraíba,Maneco
PB,Paraíba,Maneco,Centro
PB,Paraíba,Maneco,Zona Rural
PB,Paraíba,Manguape - São Sebastião de Lagoa de Roça
PB,Paraíba,Manguape - São Sebastião de Lagoa de Roça,Zona Rural
PB,Paraíba,Manguenza
PB,Paraíba,Manguenza,Centro
PB,Paraíba,Manguenza,Zona Rural
PB,Paraíba,Maracajá
PB,Paraíba,Maracajá,Centro
PB,Paraíba,Maracajá,Zona Rural
PB,Paraíba,Marcação
PB,Paraíba,Marcação,Centro
PB,Paraíba,Marcação,Zona Rural
PB,Paraíba,Mari
PB,Paraíba,Mari,Aeroporto
PB,Paraíba,Mari,Centro
PB,Paraíba,Mari,Chico Faustino
PB,Paraíba,Mari,Fernando Faustino
PB,Paraíba,Mari,Jose Americo Almeida
PB,Paraíba,Mari,Lindolfo Montei
PB,Paraíba,Mari,Pasto Novo
PB,Paraíba,Mari,Silvino Costa
PB,Paraíba,Mari,Sudene
PB,Paraíba,Mari,Vermelho
PB,Paraíba,Mari,Zona Rural
PB,Paraíba,Marinho
PB,Paraíba,Marinho,Centro
PB,Paraíba,Marinho,Zona Rural
PB,Paraíba,Marizópolis
PB,Paraíba,Marizópolis,Centro
PB,Paraíba,Massabiele
PB,Paraíba,Massabiele,Centro
PB,Paraíba,Massangana III
PB,Paraíba,Massangana III,Centro
PB,Paraíba,Massaranduba
PB,Paraíba,Massaranduba,Alto Bela Vista
PB,Paraíba,Massaranduba,Centro
PB,Paraíba,Massaranduba,Zona Rural
PB,Paraíba,Mata Limpa
PB,Paraíba,Mata Limpa,Centro
PB,Paraíba,Mata Redonda
PB,Paraíba,Mata Redonda,Centro
PB,Paraíba,Mata Redonda,Zona Rural
PB,Paraíba,Mata Velha
PB,Paraíba,Mata Velha,Centro
PB,Paraíba,Mata Velha,Zona Rural
PB,Paraíba,Mata Virgem
PB,Paraíba,Mataraca
PB,Paraíba,Mataraca,Centro
PB,Paraíba,Mataraca,Cj Novo Horizonte
PB,Paraíba,Mataraca,Jardim Planalto
PB,Paraíba,Mataraca,Planalto ii
PB,Paraíba,Mataraca,Zona Rural
PB,Paraíba,Matinhas
PB,Paraíba,Matinhas,Centro
PB,Paraíba,Matinhas,Zona Rural
PB,Paraíba,Mato Grosso
PB,Paraíba,Mato Grosso,Centro
PB,Paraíba,Mato Grosso,Zona Rural
PB,Paraíba,Maturéia
PB,Paraíba,Maturéia,Centro
PB,Paraíba,Melancia - Santa Helena
PB,Paraíba,Mituaçu
PB,Paraíba,Mituaçu,Centro
PB,Paraíba,Mogeiro
PB,Paraíba,Mogeiro,Centro
PB,Paraíba,Mogeiro,Lot Mariz
PB,Paraíba,Mogeiro,Maria Peixoto
PB,Paraíba,Mogeiro,Pedro l Macedo
PB,Paraíba,Mogeiro,Vila Nova Descoberta
PB,Paraíba,Mogeiro,Zona Rural
PB,Paraíba,Montadas
PB,Paraíba,Montadas,Centro
PB,Paraíba,Monte Horebe
PB,Paraíba,Monte Horebe,Centro
PB,Paraíba,Monte Horebe,Sao Jose
PB,Paraíba,Monte Horebe,Zona Rural
PB,Paraíba,Monteiro
PB,Paraíba,Monteiro,Altiplano
PB,Paraíba,Monteiro,Alto Sao Vicente
PB,Paraíba,Monteiro,Bela Vista
PB,Paraíba,Monteiro,Centro
PB,Paraíba,Monteiro,Vila Popular
PB,Paraíba,Monteiro,Zona Rural
PB,Paraíba,Mororó
PB,Paraíba,Mororó,Centro
PB,Paraíba,Mororó,Zona Rural
PB,Paraíba,Mulungu
PB,Paraíba,Mulungu,Achiles Leal
PB,Paraíba,Mulungu,Centro
PB,Paraíba,Mulungu,Zona Rural
PB,Paraíba,Natuba
PB,Paraíba,Natuba,Centro
PB,Paraíba,Natuba,Zona Rural
PB,Paraíba,Nazaré
PB,Paraíba,Nazaré,Centro
PB,Paraíba,Nazaré,Zona Rural
PB,Paraíba,Nazarezinho
PB,Paraíba,Nazarezinho,Alto Boa Vista
PB,Paraíba,Nazarezinho,Centro
PB,Paraíba,Nazarezinho,Francisco Lins
PB,Paraíba,Nazarezinho,Francisco Mendes
PB,Paraíba,Nazarezinho,Lindolfo Pires
PB,Paraíba,Nazarezinho,Vila Nova
PB,Paraíba,Nazarezinho,Zona Rural
PB,Paraíba,Nossa Senhora do Livramento
PB,Paraíba,Nossa Senhora do Livramento,Centro
PB,Paraíba,Nova Cuba
PB,Paraíba,Nova Cuba,Centro
PB,Paraíba,Nova Cuba,Cuba Baixo
PB,Paraíba,Nova Floresta
PB,Paraíba,Nova Floresta,Centro
PB,Paraíba,Nova Floresta,Francisco Estevao
PB,Paraíba,Nova Olinda
PB,Paraíba,Nova Olinda,Centro
PB,Paraíba,Nova Olinda,Zona Rural
PB,Paraíba,Nova Palmeira
PB,Paraíba,Nova Palmeira,Centro
PB,Paraíba,Nova Palmeira,Zona Rural
PB,Paraíba,Nova Vida
PB,Paraíba,Nova Vida,Centro
PB,Paraíba,Novo Salvador
PB,Paraíba,Novo Salvador,Centro
PB,Paraíba,Núcleo 1
PB,Paraíba,Núcleo 1,Centro
PB,Paraíba,Núcleo 1,Zona Rural
PB,Paraíba,Núcleo 2
PB,Paraíba,Núcleo 2,Centro
PB,Paraíba,Núcleo 2,Zona Rural
PB,Paraíba,Núcleo Agrícola 3
PB,Paraíba,Núcleo Agrícola 3,Centro
PB,Paraíba,Núcleo Agrícola 3,Zona Rural
PB,Paraíba,Odilândia
PB,Paraíba,Odilândia,Centro
PB,Paraíba,Oiti
PB,Paraíba,Oiti,Centro
PB,Paraíba,Oiti,Zona Rural
PB,Paraíba,Olho D'Água
PB,Paraíba,Olho D'Água,Centro
PB,Paraíba,Olho D'Água,Zona Rural
PB,Paraíba,Olho D'Água de Capim
PB,Paraíba,Olho D'Água de Capim,Centro
PB,Paraíba,Olivedos
PB,Paraíba,Olivedos,Cehap
PB,Paraíba,Olivedos,Centro
PB,Paraíba,Olivedos,Zona Rural
PB,Paraíba,Ouro Velho
PB,Paraíba,Ouro Velho,Centro
PB,Paraíba,Ouro Velho,Zona Rural
PB,Paraíba,Pai Domingos
PB,Paraíba,Pai Domingos,Centro
PB,Paraíba,Palestina
PB,Paraíba,Palestina,Centro
PB,Paraíba,Palmeira
PB,Paraíba,Palmeira,Centro
PB,Paraíba,Parari
PB,Paraíba,Parari,Centro
PB,Paraíba,Parari,Jose a a Caluete
PB,Paraíba,Passagem
PB,Paraíba,Passagem,Centro
PB,Paraíba,Passagem,Zona Rural
PB,Paraíba,Patos
PB,Paraíba,Patos,Alto Boa Vista
PB,Paraíba,Patos,Alto Tubiba
PB,Paraíba,Patos,Bancários
PB,Paraíba,Patos,Belo Horizonte
PB,Paraíba,Patos,Bessa
PB,Paraíba,Patos,Bivar Olinto
PB,Paraíba,Patos,Brasilia
PB,Paraíba,Patos,Cabo Branco
PB,Paraíba,Patos,Caicó
PB,Paraíba,Patos,Centro
PB,Paraíba,Patos,Cicero Torres
PB,Paraíba,Patos,Cristo Redentor
PB,Paraíba,Patos,Distrito Industrial
PB,Paraíba,Patos,Dona Milindra
PB,Paraíba,Patos,Edvaldo Mota
PB,Paraíba,Patos,Ernani Sátiro
PB,Paraíba,Patos,Ilha do Bispo
PB,Paraíba,Patos,Intermares
PB,Paraíba,Patos,Itapetim
PB,Paraíba,Patos,Jardim Bela Vista
PB,Paraíba,Patos,Jardim California
PB,Paraíba,Patos,Jardim Europa
PB,Paraíba,Patos,Jardim Guanabara
PB,Paraíba,Patos,Jardim Lacerda
PB,Paraíba,Patos,Jardim Magnolia
PB,Paraíba,Patos,Jardim Oceania
PB,Paraíba,Patos,Jardim Pedro Firmino
PB,Paraíba,Patos,Jardim Planalto
PB,Paraíba,Patos,Jardim Queiroz
PB,Paraíba,Patos,Jardim Redencao
PB,Paraíba,Patos,Jardim Redencao iii
PB,Paraíba,Patos,Jatoba
PB,Paraíba,Patos,Jose Mariz
PB,Paraíba,Patos,Jua Doce
PB,Paraíba,Patos,Liberdade
PB,Paraíba,Patos,Mangabeira
PB,Paraíba,Patos,Manoel Nascimento
PB,Paraíba,Patos,Maternidade
PB,Paraíba,Patos,Monte Castelo
PB,Paraíba,Patos,Monte Líbano
PB,Paraíba,Patos,Morro
PB,Paraíba,Patos,Noe Trajano
PB,Paraíba,Patos,Nova Brasília
PB,Paraíba,Patos,Nova Conquista
PB,Paraíba,Patos,Novo Horizonte
PB,Paraíba,Patos,Oitizeiro
PB,Paraíba,Patos,Salgadinho
PB,Paraíba,Patos,Santo Antonio
PB,Paraíba,Patos,Sao Sebastiao
PB,Paraíba,Patos,Vila Cavalcante
PB,Paraíba,Patos,Vila Mariana
PB,Paraíba,Patos,Vila Nova
PB,Paraíba,Patos,Vitoria
PB,Paraíba,Patos,Zona Rural
PB,Paraíba,Paulista
PB,Paraíba,Paulista,Centro
PB,Paraíba,Paulista,Santo Amaro
PB,Paraíba,Paulista,Zona Rural
PB,Paraíba,Pedra Branca
PB,Paraíba,Pedra Branca,Centro
PB,Paraíba,Pedra Branca,Zona Rural
PB,Paraíba,Pedra D'Água - Caturite
PB,Paraíba,Pedra D'Água - Caturite,Centro
PB,Paraíba,Pedra D'Água - Caturite,Zona Rural
PB,Paraíba,Pedra Lavrada
PB,Paraíba,Pedra Lavrada,Centro
PB,Paraíba,Pedra Lavrada,Jardim Europa
PB,Paraíba,Pedra Lavrada,Zona Rural
PB,Paraíba,Pedras de Fogo
PB,Paraíba,Pedras de Fogo,Centro
PB,Paraíba,Pedras de Fogo Rural
PB,Paraíba,Pedras de Fogo Rural,Zona Rural
PB,Paraíba,Pedro Régis
PB,Paraíba,Pedro Régis,Centro
PB,Paraíba,Pedro Régis,Zona Rural
PB,Paraíba,Pedro Velho
PB,Paraíba,Pedro Velho,Centro
PB,Paraíba,Pelo Sinal
PB,Paraíba,Pelo Sinal,Centro
PB,Paraíba,Pelo Sinal,Zona Rural
PB,Paraíba,Perímetro Irrigado
PB,Paraíba,Perímetro Irrigado,Centro
PB,Paraíba,Pernambuquinho
PB,Paraíba,Piabucu
PB,Paraíba,Piancó
PB,Paraíba,Piancó,Belo Horizonte
PB,Paraíba,Piancó,Caixa D'agua
PB,Paraíba,Piancó,Campo Novo
PB,Paraíba,Piancó,Centro
PB,Paraíba,Piancó,Felizardo Leite
PB,Paraíba,Piancó,Mutirao
PB,Paraíba,Piancó,Ouro Branco
PB,Paraíba,Piancó,Piancozinho
PB,Paraíba,Piancó,Sao Vicente
PB,Paraíba,Piancó,Severino Remigio
PB,Paraíba,Piancó,Zona Rural
PB,Paraíba,Picuí
PB,Paraíba,Picuí,Cenecista
PB,Paraíba,Picuí,Centro
PB,Paraíba,Picuí,Cj Francisco Adauto
PB,Paraíba,Picuí,Felizardo Bezerra
PB,Paraíba,Picuí,Juscelino Kubitschek
PB,Paraíba,Picuí,Limeira
PB,Paraíba,Picuí,Monte Santo
PB,Paraíba,Picuí,Nova Parnamirim
PB,Paraíba,Picuí,Pedro Salustino
PB,Paraíba,Pilar
PB,Paraíba,Pilar,Augusto Bernardo
PB,Paraíba,Pilar,Centro
PB,Paraíba,Pilar,Ibiranga
PB,Paraíba,Pilar,Maria Reg Concei
PB,Paraíba,Pilar,Sao Jose
PB,Paraíba,Pilões
PB,Paraíba,Pilões,Centro
PB,Paraíba,Pilões,Cj São José
PB,Paraíba,Pilões,Petronio Cunha
PB,Paraíba,Pilões,Zona Rural
PB,Paraíba,Pilõezinhos
PB,Paraíba,Pilõezinhos,Centro
PB,Paraíba,Pilõezinhos,Zona Rural
PB,Paraíba,Pindobal
PB,Paraíba,Pindobal,Zona Rural
PB,Paraíba,Pindurão
PB,Paraíba,Pindurão,Centro
PB,Paraíba,Pinturas
PB,Paraíba,Pio X
PB,Paraíba,Pio X,Centro
PB,Paraíba,Piranhas Velhas
PB,Paraíba,Pirauá
PB,Paraíba,Pirauá,Centro
PB,Paraíba,Pirauá,Zona Rural
PB,Paraíba,Pirpiri - Guarabira
PB,Paraíba,Pirpiri - Guarabira,Centro
PB,Paraíba,Pirpirituba
PB,Paraíba,Pirpirituba,Alto Damiao
PB,Paraíba,Pirpirituba,Caixa D'agua
PB,Paraíba,Pirpirituba,Centro
PB,Paraíba,Pirpirituba,Zona Rural
PB,Paraíba,Pitanga da Estrada
PB,Paraíba,Pitanga da Estrada,Centro
PB,Paraíba,Pitimbu
PB,Paraíba,Pitimbu,Alto Bela Vista
PB,Paraíba,Pitimbu,Centro
PB,Paraíba,Pitimbu,Costa Marli
PB,Paraíba,Pitimbu,Praia Azul
PB,Paraíba,Pitimbu,Praia Marisco
PB,Paraíba,Pitimbu,Senhor Bonfim
PB,Paraíba,Pitombeira - Santana dos Garrotes
PB,Paraíba,Pitombeira - Santana dos Garrotes,Centro
PB,Paraíba,Pitombeira - Santana dos Garrotes,Zona Rural
PB,Paraíba,Pocinhos
PB,Paraíba,Pocinhos,Centro
PB,Paraíba,Pocinhos,Cj Cagepa
PB,Paraíba,Pocinhos,Cruzeiro
PB,Paraíba,Pocinhos,Ivo Benicio
PB,Paraíba,Pocinhos,Jardim Etelvina
PB,Paraíba,Pocinhos,Nova Brasília
PB,Paraíba,Pocinhos,Zona Rural
PB,Paraíba,Poço Dantas
PB,Paraíba,Poço Dantas,Centro
PB,Paraíba,Poço Dantas,Zona Rural
PB,Paraíba,Poço de José de Moura
PB,Paraíba,Poço de José de Moura,Casas Populares
PB,Paraíba,Poço de José de Moura,Centro
PB,Paraíba,Poço Pau
PB,Paraíba,Pombal
PB,Paraíba,Pombal,Água Fria
PB,Paraíba,Pombal,Carvalhada
PB,Paraíba,Pombal,Centro
PB,Paraíba,Pombal,Cruz Menina
PB,Paraíba,Pombal,Estacao
PB,Paraíba,Pombal,Francisco Paulino
PB,Paraíba,Pombal,Guindaste
PB,Paraíba,Pombal,Jandui Carneiro
PB,Paraíba,Pombal,Jardim Rogerio
PB,Paraíba,Pombal,Miramar
PB,Paraíba,Pombal,Nova Vida
PB,Paraíba,Pombal,Pereiros
PB,Paraíba,Pombal,Petropolis
PB,Paraíba,Pombal,Santa Rosa
PB,Paraíba,Pombal,São Bentinho
PB,Paraíba,Pombal,Vida Nova
PB,Paraíba,Pombal,Zona Rural
PB,Paraíba,Pontina
PB,Paraíba,Pontina,Centro
PB,Paraíba,Pontina,Zona Rural
PB,Paraíba,Praia de Campina
PB,Paraíba,Praia de Campina,Centro
PB,Paraíba,Praia de Campina,Zona Rural
PB,Paraíba,Prata
PB,Paraíba,Prata,Centro
PB,Paraíba,Prata,Zona Rural
PB,Paraíba,Princesa Isabel
PB,Paraíba,Princesa Isabel,Aluisio p Lima
PB,Paraíba,Princesa Isabel,Aurora s Diniz
PB,Paraíba,Princesa Isabel,Baixa
PB,Paraíba,Princesa Isabel,Centro
PB,Paraíba,Princesa Isabel,Cruzeiro
PB,Paraíba,Princesa Isabel,Irene Sergio
PB,Paraíba,Princesa Isabel,Jardim Carlota
PB,Paraíba,Princesa Isabel,Macapá
PB,Paraíba,Princesa Isabel,Maia
PB,Paraíba,Princesa Isabel,Matadouro
PB,Paraíba,Princesa Isabel,São Francisco
PB,Paraíba,Princesa Isabel,Zona Rural
PB,Paraíba,Puxinanã
PB,Paraíba,Puxinanã,Bodocongo
PB,Paraíba,Puxinanã,Centro
PB,Paraíba,Puxinanã,Malvina
PB,Paraíba,Puxinanã,Marinho
PB,Paraíba,Puxinanã,Ns Carmo
PB,Paraíba,Puxinanã,Zona Rural
PB,Paraíba,Queimadas
PB,Paraíba,Queimadas,Aníbal Teixeira
PB,Paraíba,Queimadas,Bairro Novo
PB,Paraíba,Queimadas,Caraibeiras
PB,Paraíba,Queimadas,Castanho
PB,Paraíba,Queimadas,Centro
PB,Paraíba,Queimadas,Correia Lima
PB,Paraíba,Queimadas,Distrito Industrial
PB,Paraíba,Queimadas,Ligeiro
PB,Paraíba,Queimadas,Nova Cidade
PB,Paraíba,Queimadas,Vila Campo
PB,Paraíba,Queimadas,Zona Rural
PB,Paraíba,Queimadas - Serra Redonda
PB,Paraíba,Queimadas - Serra Redonda,Centro
PB,Paraíba,Queimadas - Serra Redonda,Zona Rural
PB,Paraíba,Quixabá
PB,Paraíba,Quixabá,Centro
PB,Paraíba,Quixabá,Zona Rural
PB,Paraíba,Ramada
PB,Paraíba,Ramada,Zona Rural
PB,Paraíba,Remígio
PB,Paraíba,Remígio,Centro
PB,Paraíba,Remígio,Lot Santo Antônio
PB,Paraíba,Remígio,Mutirão
PB,Paraíba,Remígio,Padre Cícero
PB,Paraíba,Remígio,Zona Rural
PB,Paraíba,Renascença
PB,Paraíba,Renascença,Centro
PB,Paraíba,Riachão
PB,Paraíba,Riachão,Centro
PB,Paraíba,Riachão,Cj Antônio Mariz
PB,Paraíba,Riachão - São Bento
PB,Paraíba,Riachão - São Bento,Centro
PB,Paraíba,Riachão do Bacamarte
PB,Paraíba,Riachão do Bacamarte,Centro
PB,Paraíba,Riachão do Bacamarte,Zona Rural
PB,Paraíba,Riachão do Poço
PB,Paraíba,Riachão do Poço,Centro
PB,Paraíba,Riacho de Santo Antônio
PB,Paraíba,Riacho de Santo Antônio,Bom Jesus
PB,Paraíba,Riacho de Santo Antônio,Centro
PB,Paraíba,Riacho de Santo Antônio,Zona Rural
PB,Paraíba,Riacho dos Cavalos
PB,Paraíba,Riacho dos Cavalos,Alice Suassuna
PB,Paraíba,Riacho dos Cavalos,Centro
PB,Paraíba,Riacho dos Cavalos,Ney Suassuna
PB,Paraíba,Ribeira - Cabaceiras
PB,Paraíba,Ribeira - Cabaceiras,Centro
PB,Paraíba,Ribeira - Cabaceiras,Zona Rural
PB,Paraíba,Ribeira - Santa Rita
PB,Paraíba,Ribeira - Santa Rita,Zona Rural
PB,Paraíba,Rio Tinto
PB,Paraíba,Rio Tinto,Bonfim
PB,Paraíba,Rio Tinto,Centro
PB,Paraíba,Rio Tinto,Durval Assis
PB,Paraíba,Rio Tinto,Eduardo Ferreira
PB,Paraíba,Rio Tinto,Pedro Romero
PB,Paraíba,Rio Tinto,Sev. Brandão
PB,Paraíba,Rio Tinto,Vila Regina
PB,Paraíba,Rio Tinto,Zona Rural
PB,Paraíba,Rua Nova
PB,Paraíba,Rua Nova,Centro
PB,Paraíba,Salema
PB,Paraíba,Salema,Centro
PB,Paraíba,Salema,Zona Rural
PB,Paraíba,Salgadinho
PB,Paraíba,Salgadinho,Centro
PB,Paraíba,Salgado de São Félix
PB,Paraíba,Salgado de São Félix,Apolinário s Anjos
PB,Paraíba,Salgado de São Félix,Centro
PB,Paraíba,Salgado de São Félix,Zona Rural
PB,Paraíba,Samambaia - Puxinanã
PB,Paraíba,Samambaia - Puxinanã,Centro
PB,Paraíba,Santa Catarina
PB,Paraíba,Santa Catarina,Centro
PB,Paraíba,Santa Cecília
PB,Paraíba,Santa Cecília,Centro
PB,Paraíba,Santa Cruz
PB,Paraíba,Santa Cruz,Centro
PB,Paraíba,Santa Cruz,Populares
PB,Paraíba,Santa Cruz,Sao Francisco
PB,Paraíba,Santa Cruz,Zona Rural
PB,Paraíba,Santa Gertrudes
PB,Paraíba,Santa Gertrudes,Centro
PB,Paraíba,Santa Gertrudes,Zona Rural
PB,Paraíba,Santa Helena
PB,Paraíba,Santa Helena,Antonio Mariz
PB,Paraíba,Santa Helena,Centro
PB,Paraíba,Santa Helena,Mutirao
PB,Paraíba,Santa Helena,Zona Rural
PB,Paraíba,Santa Helena - Cruz do Espírito Santo
PB,Paraíba,Santa Helena - Cruz do Espírito Santo,Centro
PB,Paraíba,Santa Inês
PB,Paraíba,Santa Inês,Centro
PB,Paraíba,Santa Luzia
PB,Paraíba,Santa Luzia,Antonio b Morais
PB,Paraíba,Santa Luzia,Centro
PB,Paraíba,Santa Luzia,Cj Frei Damião
PB,Paraíba,Santa Luzia,Cj Inácio Bento
PB,Paraíba,Santa Luzia,Ernesto Geisel
PB,Paraíba,Santa Luzia,Jardim Vila Nova
PB,Paraíba,Santa Luzia,Mangabeira
PB,Paraíba,Santa Luzia,Ns Fatima
PB,Paraíba,Santa Luzia,Sao Jose
PB,Paraíba,Santa Luzia,Sao Sebastiao
PB,Paraíba,Santa Luzia,Zona Rural
PB,Paraíba,Santa Luzia do Cariri
PB,Paraíba,Santa Luzia do Cariri,Centro
PB,Paraíba,Santa Maria - São João do Tigre
PB,Paraíba,Santa Maria - São João do Tigre,Centro
PB,Paraíba,Santa Maria Gorete
PB,Paraíba,Santa Maria Gorete,Centro
PB,Paraíba,Santa Rita
PB,Paraíba,Santa Rita,40
PB,Paraíba,Santa Rita,Aurea Ribeiro
PB,Paraíba,Santa Rita,Boa Vista
PB,Paraíba,Santa Rita,Centro
PB,Paraíba,Santa Rita,Costa e Silva
PB,Paraíba,Santa Rita,Cruz das Armas
PB,Paraíba,Santa Rita,Distrito Industrial
PB,Paraíba,Santa Rita,Emilia Cavalcante
PB,Paraíba,Santa Rita,Fernando Santiago
PB,Paraíba,Santa Rita,Heitel Santiago
PB,Paraíba,Santa Rita,Jaguaribe
